Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/22/21
,Afghanistan,33.93911,67.709953,0,0,1,166,996,8841,23924,28016,32576,33831,35934,39585,46912,48895,49743,52348,55889,65565,82586,82586,82586,82586,82586
,Albania,41.1533,20.1683,0,0,2,356,777,1159,2463,4184,7042,10395,15842,29249,42895,64318,85846,103582,128601,129941,130109,130109,130109,130109,130109
,Algeria,28.0339,1.6596,0,0,65,1204,4256,8559,16983,28874,35307,38618,48794,64020,71552,77225,80887,83900,88208,95084,108537,108537,108537,108537,108537
,Andorra,42.5063,1.5218,0,0,1,309,652,796,803,875,1199,2470,5358,7073,8537,10245,11014,12375,13234,13665,13988,13988,13988,13988,13988
,Angola,-11.2027,17.8739,0,0,0,6,17,77,221,814,1462,3305,7346,9729,17223,19190,20090,22901,26775,32003,35082,35082,35082,35082,35082
,Antigua and Barbuda,17.0608,-61.7964,0,0,0,10,19,22,58,89,92,107,128,144,162,222,701,995,1192,1221,1225,1225,1225,1225,1225
,Argentina,-38.4161,-63.6167,0,0,3,872,3062,13153,60531,245781,517228,851854,1195492,1379726,1636826,1872213,2037686,2449793,3083298,3928389,4447953,4447953,4447953,4447953,4447953
,Armenia,40.0691,45.0382,0,0,2,633,2874,9131,24766,35907,42676,49787,94090,134586,154259,162098,168721,191158,210835,216182,218676,218676,218676,218676,218676
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,0,93,104,105,109,110,110,110,111,114,115,115,116,120,121,121,121,121,121,121,121
New South Wales,Australia,-33.8688,151.2093,0,4,4,1926,2653,2771,2988,2989,2990,2991,2992,2993,2994,2995,2996,2997,2998,2999,3000,3001,3002,3003,3004
Northern Territory,Australia,-12.4634,130.8456,0,0,0,16,29,29,30,33,33,33,39,62,90,101,105,111,165,174,188,188,188,188,188
Queensland,Australia,-27.4698,153.0251,0,1,8,738,1041,1053,1063,1082,1124,1155,1172,1215,1266,1309,1335,1453,1574,1621,1707,1707,1707,1707,1707
South Australia,Australia,-34.9285,138.6007,0,2,3,388,435,436,441,452,462,473,514,559,590,604,624,669,740,777,822,822,822,822,822
Tasmania,Australia,-42.8821,147.3272,0,0,3,77,199,215,215,216,217,217,217,221,221,221,221,221,221,221,221,221,221,221,221
Victoria,Australia,-37.8136,144.9631,0,4,70,1243,1479,1712,3298,13239,18628,19340,19525,19527,19584,19634,19664,19665,19715,19827,19901,19901,19901,19901,19901
Western Australia,Australia,-31.9505,115.8605,0,0,0,451,545,594,626,634,650,690,774,828,869,901,912,944,1003,1009,1025,1025,1025,1025,1025
,Austria,47.5162,14.5501,0,0,9,11328,15005,16241,17849,21406,30312,53970,169260,309595,378408,421811,475227,565513,621998,636523,640202,640202,640202,640202,640202
,Azerbaijan,40.1431,47.5769,0,0,10,907,2399,7168,20443,32842,36949,40619,63841,147199,219019,227836,233087,272575,319991,329710,331629,331629,331629,331629,331629
,Bahamas,25.025885,-78.035889,0,0,0,12,44,77,91,227,1871,3705,5652,6166,6720,7181,7734,9140,10221,11356,12158,12158,12158,12158,12158
,Bahrain,26.0275,50.55,0,0,149,1026,4096,16862,33894,45589,59367,75840,83829,88666,95902,110827,129242,156981,193337,256063,266036,266036,266036,266036,266036
,Bangladesh,23.685,90.3563,0,0,3,92,6190,46755,117202,175567,260790,310532,362428,441929,475561,492059,523859,642449,729798,788385,969610,969610,969610,969610,969610
,Barbados,13.1939,-59.5432,0,0,0,25,70,85,94,126,173,207,241,284,493,2035,3358,3716,3922,3988,4098,4098,4098,4098,4098
,Belarus,53.7098,27.9534,0,0,15,769,12833,37923,59061,68577,73386,81501,103848,154807,218831,269428,302168,338927,374854,404240,431489,431489,431489,431489,431489
,Belgium,50.8333,4.469936,0,1,263,9433,15123,16771,17347,18204,19039,22213,22214,22215,22216,22217,22218,22219,22220,22221,22222,22223,22224,22225,22226
,Belize,17.1899,-88.4976,0,0,0,2,16,17,23,44,967,1826,2842,8802,11009,11787,12031,12164,12358,12572,13201,13201,13201,13201,13201
,Benin,9.3077,2.3158,0,0,0,27,61,253,782,1705,1954,2330,2579,3061,3317,4248,5552,7510,7893,8000,8125,8125,8125,8125,8125
,Bhutan,27.5142,90.4336,0,0,0,2,6,32,83,112,195,306,360,430,679,862,867,906,1186,1702,2181,2181,2181,2181,2181
,Bolivia,-16.2902,-63.5887,0,0,0,44,575,5857,19721,43887,90853,106950,119338,128540,148750,186118,212691,243064,279345,344609,396914,396914,396914,396914,396914
,Bosnia and Herzegovina,43.9159,17.6791,0,0,2,460,1614,2270,4159,11329,18359,25989,44416,72597,90691,112879,125343,152007,172005,180643,188330,188330,188330,188330,188330
,Botswana,-22.3285,24.6849,0,0,0,0,19,25,48,136,624,927,7296,11147,15911,22773,32550,41338,48449,59616,84189,84189,84189,84189,84189
,Brazil,-14.235,-51.9253,0,0,2,25318,135430,601736,1591975,2913966,4016831,4526393,5457973,6501341,7746910,9108205,10611595,12530970,14132443,15862096,17470332,17470332,17470332,17470332,17470332
,Brunei,4.5353,114.7277,0,0,2,117,136,138,138,139,142,143,145,149,169,178,188,210,224,245,269,269,269,269,269
,Bulgaria,42.7339,25.4858,0,0,3,174,769,2171,4643,10282,13748,17833,36524,105090,178602,201029,237031,318208,373202,393636,397900,397900,397900,397900,397900
,Burkina Faso,12.2383,-1.5616,0,0,5,389,672,814,917,1034,1252,1869,2532,3877,7883,11211,12177,12862,13225,13295,13350,13350,13350,13350,13350
,Burma,21.9162,95.956,0,0,0,7,116,200,280,338,1951,21144,58758,97819,120543,131318,131763,131914,132177,133893,173926,173926,173926,173926,173926
,Burundi,-3.3731,29.9189,0,0,0,4,20,93,207,336,462,497,575,687,773,773,773,773,773,773,773,773,773,773,773
,Cabo Verde,16.5388,-23.0418,0,0,0,1,95,419,1132,2538,4742,6940,9730,11275,12590,14581,15804,18689,26657,31138,32617,32617,32617,32617,32617
,Cambodia,11.55,104.9167,0,1,1,110,122,127,142,263,274,280,295,349,403,475,999,2924,17164,38766,62577,62577,62577,62577,62577
,Cameroon,3.848,11.5021,0,0,0,397,1822,7740,13728,16540,19124,20117,22177,23851,26861,31362,35261,35261,35261,35261,35261,35261,35261,35261,35261
,Canada,56.1304,-106.3468,0,3,10,14454,42608,65721,99501,112621,128890,173299,269137,437458,659185,801678,886109,1057653,1283944,1381123,1401177,1401177,1401177,1401177,1401177
,Central African Republic,6.6111,20.9394,0,0,0,10,18,495,1437,1755,1830,1924,1924,1924,4885,4920,4938,5112,5112,6859,6859,6859,6859,6859,6859
,Chad,15.4542,18.7322,0,0,0,8,196,755,805,869,967,1223,1469,1634,2222,3336,4045,4376,4721,4768,4777,4777,4777,4777,4777
,Chile,-35.6751,-71.543,0,0,8,5386,25342,205397,309241,369730,423176,469765,516121,559845,645035,760577,877189,1081117,1252970,1456672,1558669,1558669,1558669,1558669,1558669
Anhui,China,31.8257,117.2264,0,597,984,984,985,985,985,985,985,985,985,986,987,988,988,988,989,998,1000,1000,1000,1000,1000
Beijing,China,40.1824,116.4142,0,178,400,518,579,584,841,924,926,928,936,941,965,1019,1037,1038,1046,1051,1066,1066,1066,1066,1066
Chongqing,China,30.0572,107.874,0,328,570,570,573,573,576,577,578,579,583,584,584,585,585,585,586,589,592,592,592,592,592
Fujian,China,26.0789,117.9874,0,162,295,342,355,357,361,365,381,409,434,484,515,544,548,561,583,613,670,670,670,670,670
Gansu,China,35.7518,104.2861,0,76,114,137,137,137,165,167,168,168,178,180,180,185,185,190,191,192,193,193,193,193,193
Guangdong,China,23.3417,113.4244,0,728,1329,1511,1580,1619,1637,1701,1777,1851,1939,1986,2052,2140,2218,2273,2357,2492,2759,2759,2759,2759,2759
Guangxi,China,23.8298,108.7881,0,104,250,252,252,252,253,253,254,258,258,261,262,265,265,265,267,273,273,273,273,273,273
Guizhou,China,26.8154,106.8748,0,90,144,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
Hainan,China,19.1959,109.7453,0,104,161,162,162,163,165,165,165,165,165,165,165,165,165,165,176,181,181,181,181,181,181
Hebei,China,37.8957,114.9042,0,203,310,317,322,323,342,343,357,359,365,367,422,1172,1310,1310,1310,1310,1310,1310,1310,1310,1310
Heilongjiang,China,47.862,127.7615,0,204,466,479,932,934,934,934,935,935,936,936,957,1587,1597,1597,1597,1599,1599,1599,1599,1599,1599
Henan,China,33.882,113.614,0,830,1250,1254,1254,1254,1254,1254,1254,1257,1261,1270,1277,1281,1282,1285,1289,1291,1291,1291,1291,1291,1291
Hong Kong,China,22.3,114.2,0,6,100,678,1029,1078,1344,3974,4729,5019,5259,6995,8948,10404,10901,11316,11550,11618,11690,11690,11690,11690,11690
Hubei,China,30.9756,112.2707,28,15299,59433,63519,63616,63623,63623,63626,63627,63627,63628,63637,63637,63638,63639,63640,63645,63647,63662,63662,63662,63662,63662
Hunan,China,27.6104,111.7088,0,692,1014,1015,1015,1015,1015,1015,1015,1015,1016,1016,1017,1025,1031,1036,1039,1046,1053,1053,1053,1053,1053
Inner Mongolia,China,44.0935,113.9448,0,26,74,108,199,236,241,257,259,266,291,331,351,365,366,376,380,387,392,392,392,392,392
Jiangsu,China,32.9711,119.455,0,401,631,645,653,653,654,656,664,665,670,679,685,698,704,708,713,728,743,743,743,743,743
Jiangxi,China,27.614,115.7221,0,555,934,936,936,931,931,931,934,934,934,934,934,934,934,936,936,936,936,936,936,936,936
Jilin,China,43.6661,126.1923,0,52,92,98,128,153,153,155,155,155,155,155,155,543,570,570,570,570,570,570,570,570,570
Liaoning,China,41.2956,122.6085,0,66,124,143,144,147,158,248,262,271,283,287,374,401,404,406,406,421,425,425,425,425,425
Macau,China,22.1667,113.55,0,6,10,26,45,45,46,46,46,46,46,46,46,47,47,49,49,51,53,53,53,53,53
Ningxia,China,37.2692,106.1655,0,48,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Qinghai,China,35.7452,95.9956,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Shaanxi,China,35.1917,108.8701,0,149,239,253,304,307,317,343,372,414,447,485,505,536,550,568,591,609,627,627,627,627,627
Shandong,China,36.3427,118.1498,0,302,750,766,780,785,785,797,816,827,841,841,856,860,862,862,872,875,876,876,876,876,876
Shanghai,China,31.202,121.4491,0,227,328,534,647,669,711,796,923,1028,1236,1358,1518,1710,1812,1889,1996,2111,2218,2218,2218,2218,2218
Shanxi,China,37.5777,112.2922,0,81,133,140,198,198,200,201,203,204,215,221,224,237,240,242,247,252,253,253,253,253,253
Sichuan,China,30.6171,102.7103,0,250,536,556,558,572,594,611,655,701,745,804,852,869,910,948,979,1032,1091,1091,1091,1091,1091
Tianjin,China,39.3054,117.323,0,65,133,176,187,192,195,203,229,242,277,297,309,335,351,372,379,385,396,396,396,396,396
Tibet,China,31.6927,88.0924,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Unknown,China,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,13,12,6,6,6,6,6
Xinjiang,China,41.1129,85.2401,0,25,73,73,73,73,73,701,899,899,977,977,977,977,977,977,977,977,977,977,977,977,977
Yunnan,China,24.974,101.487,0,107,172,178,183,183,185,189,196,204,210,211,228,229,230,274,325,350,392,392,392,392,392
Zhejiang,China,29.1832,120.0934,0,719,1219,1252,1267,1267,1267,1268,1272,1279,1283,1290,1305,1310,1318,1320,1324,1337,1373,1373,1373,1373,1373
,Colombia,4.5709,-74.2973,0,0,3,870,4575,29024,101613,359792,640900,893810,1150932,1394374,1811552,2124695,2235343,2538020,3011234,3714962,4449027,4449027,4449027,4449027,4449027
,Comoros,-11.6455,43.3333,0,0,0,0,18,159,319,396,453,494,572,615,1298,3130,3473,3645,3710,3745,3849,3849,3849,3849,3849
,Congo (Brazzaville),-0.228,15.8277,0,0,0,16,137,456,666,1625,3887,3887,3887,4988,5846,7019,7514,8208,8208,11211,11759,11759,11759,11759,11759
,Congo (Kinshasa),-4.0383,21.7587,0,0,0,45,312,856,4790,8920,10011,10379,11300,13736,14875,16135,24892,26135,27603,27969,29389,29389,29389,29389,29389
,Costa Rica,9.7489,-83.7534,0,0,2,180,600,1043,3322,10372,25706,61162,79372,127618,146448,172280,190236,199779,228589,281042,321048,321048,321048,321048,321048
,Cote d'Ivoire,7.54,-5.5471,0,0,1,310,1146,3493,8995,15106,18682,20088,20798,21536,24356,30768,36502,45283,46346,47511,48655,48655,48655,48655,48655
,Croatia,45.1,15.2,0,0,5,869,2011,2142,3278,5678,12987,22064,82380,178880,219878,232457,245723,293454,341491,350539,352966,352966,352966,352966,352966
,Cuba,21.521757,-77.781167,0,0,0,341,1631,2113,2326,3006,4506,5871,7334,9219,15311,40037,63639,92050,124020,160956,270757,270757,270757,270757,270757
,Cyprus,35.1264,33.4299,0,0,3,98,561,824,847,878,1369,1444,2055,2057,2057,2057,2057,39061,39061,39061,39061,39061,39061,39061,39061
,Czechia,49.8175,15.473,0,0,6,1989,6025,7537,9144,16087,26151,87225,398101,541012,795878,1017406,1262738,1520263,1607681,1633482,1638500,1638500,1638500,1638500,1638500
Faroe Islands,Denmark,61.8926,-6.9118,0,0,0,178,187,187,188,300,414,473,497,524,644,655,659,660,668,755,877,877,877,877,877
Greenland,Denmark,71.7069,-42.6043,0,0,0,11,11,13,13,14,14,16,18,19,30,30,31,31,32,40,58,58,58,58,58
,Denmark,56.2639,9.5018,0,0,1,5087,9764,11347,12274,13944,18035,30877,55274,95933,177550,199818,214289,233614,256535,285375,295176,295176,295176,295176,295176
,Diamond Princess,0,0,0,1,325,644,651,651,651,651,651,659,659,699,699,699,699,699,699,699,699,699,699,699,699
,Djibouti,11.8251,42.5903,0,0,0,183,1064,3952,4904,5233,5338,5389,5555,5676,5837,5879,6113,10007,11325,11434,11466,11466,11466,11466,11466
,Dominica,15.415,-61.371,0,0,0,9,16,18,18,18,18,29,55,83,105,121,141,165,176,189,196,196,196,196,196
,Dominican Republic,18.7357,-70.1627,0,0,0,581,7572,15338,26466,59949,82741,100920,112552,125715,146491,185964,206293,220159,235636,260533,287607,287607,287607,287607,287607
,Ecuador,-1.8312,-78.1834,0,0,3,1262,3557,24991,33125,87889,102852,134187,164009,181618,199332,238817,271847,309541,354499,415508,443880,443880,443880,443880,443880
,Egypt,26.820553,30.802498,0,0,56,935,4374,15133,30075,65118,91143,98624,101881,107563,125603,138183,150424,165348,186223,206852,226535,226535,226535,226535,226535
,El Salvador,13.7942,-88.8965,0,0,0,63,570,2655,7119,12021,22113,27904,34297,39362,46370,54324,60681,64208,67510,71603,75608,75608,75608,75608,75608
,Equatorial Guinea,1.6508,10.2679,0,0,0,7,165,515,842,3795,4509,4961,4975,5077,5197,5488,6244,7016,7801,8489,8591,8591,8591,8591,8591
,Eritrea,15.1794,39.7823,0,0,0,6,39,39,155,274,309,391,473,599,1304,2068,2865,3406,3711,5016,6201,6201,6201,6201,6201
,Estonia,58.5953,25.0136,0,0,2,184,1508,1765,1912,2024,2385,3366,5699,14395,29167,45352,68249,105471,120625,126798,128271,128271,128271,128271,128271
,Eswatini,-26.5225,31.4659,0,0,0,8,119,291,876,2762,4672,5468,5858,6821,8962,13415,16067,17722,17829,18048,19392,19392,19392,19392,19392
,Ethiopia,9.145,40.4897,0,0,4,21,128,1297,5506,14480,28991,45260,65691,104818,118513,131713,148571,185107,227080,255962,262692,262692,262692,262692,262692
,Fiji,-17.7134,178.065,0,0,0,8,15,18,18,23,28,30,33,44,53,54,64,65,134,618,4729,4729,4729,4729,4729
,Finland,61.92411,25.748151,0,1,10,2000,4800,6400,6920,7100,7700,9800,15300,22500,31000,40000,46000,46000,46000,46000,46000,46000,46000,46000,46000
French Guiana,France,3.9339,-53.1258,0,0,6,83,141,972,5277,8307,9400,9995,9995,9995,9995,9995,9995,9995,9995,9995,9995,9995,9995,9995,9995
French Polynesia,France,-17.6797,149.4068,0,0,0,35,60,60,60,68,1170,3536,4842,4842,4842,4842,4842,4842,18677,18814,18945,18945,18945,18945,18945
Guadeloupe,France,16.265,-61.551,0,0,0,73,115,157,172,289,837,2199,2242,2242,2242,2242,2242,2242,2250,2250,2250,2250,2250,2250,2250
Martinique,France,14.6415,-61.0242,0,0,0,73,91,98,98,98,98,98,98,98,98,98,98,98,98,98,104,104,104,104,104
Mayotte,France,-12.8275,45.166244,0,0,0,125,894,2188,2614,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964
New Caledonia,France,-20.904305,165.618042,0,0,0,17,18,21,21,22,26,27,32,37,43,55,58,58,58,58,58,58,58,58,58
Reunion,France,-21.1151,55.5364,0,0,0,238,411,460,558,692,2482,4445,6660,8219,9261,10576,13109,17653,21709,27585,32036,32036,32036,32036,32036
Saint Barthelemy,France,17.9,-62.8333,0,0,0,6,6,6,6,9,16,66,94,161,204,247,462,462,462,462,462,462,462,462,462
Saint Pierre and Miquelon,France,46.8852,-56.3159,0,0,0,0,1,1,1,1,5,12,12,14,16,16,24,24,25,25,26,26,26,26,26
St Martin,France,18.0708,-63.0501,0,0,0,19,33,36,39,52,206,422,598,780,1006,1050,1399,1399,1399,1399,1399,1399,1399,1399,1399
Wallis and Futuna,France,-14.2938,-178.1165,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,44,436,438,438,438,438,438,438
,France,46.2276,2.2137,0,4,2200,39988,62557,70737,71238,72600,77757,88898,129722,162540,191262,224657,253477,294716,324444,338834,341358,341358,341358,341358,341358
,Gabon,-0.8037,11.6094,0,0,0,24,402,2002,4235,6734,7875,8479,8976,9283,9902,12561,15654,18908,20976,24407,25050,25050,25050,25050,25050
,Gambia,13.4432,-15.3101,0,0,0,2,13,26,57,455,2002,2660,3582,3659,3703,4011,4875,5272,5727,5837,6080,6080,6080,6080,6080
,Georgia,42.3154,43.3569,0,0,3,107,495,761,907,1132,1574,9401,85639,188408,238737,262244,270369,283557,317069,346217,369483,369483,369483,369483,369483
,Germany,51.165691,10.451526,0,14,266,99400,159064,175143,188628,207606,244693,308779,611627,1171444,1813894,2212439,2437183,2856510,3398700,3609310,3642010,3642010,3642010,3642010,3642010
,Ghana,7.9465,-1.0232,0,0,0,99,1951,10473,26090,41408,45258,46789,49405,52675,56706,73365,85761,89729,91511,93141,95221,95221,95221,95221,95221
,Greece,39.0742,21.8243,0,0,19,577,1374,1374,1374,3804,10441,19749,23074,93764,93764,93764,93764,93764,93764,93764,93764,93764,93764,93764,93764
,Grenada,12.1165,-61.679,0,0,0,6,17,23,23,24,24,24,30,49,129,147,151,155,160,160,161,161,161,161,161
,Guatemala,15.7835,-90.2308,0,0,0,24,222,2818,27756,56277,75869,92665,107413,121936,137092,158501,171873,194075,226819,255996,299752,299752,299752,299752,299752
,Guinea,9.9456,-9.6966,0,0,0,164,1575,3669,5891,7648,9780,10474,11838,13001,13566,14736,16079,19080,20699,22340,23719,23719,23719,23719,23719
,Guinea-Bissau,11.8037,-15.1804,0,0,0,3,42,191,803,1015,1549,1818,2286,2386,2405,2555,2870,3205,3478,3565,3756,3756,3756,3756,3756
,Guyana,4.860416,-58.93018,0,0,0,9,57,103,165,433,1361,2853,4019,5385,6328,7774,8522,10555,13710,17241,20009,20009,20009,20009,20009
,Haiti,18.9712,-72.2852,0,0,0,2,22,24,4095,5447,6482,7311,7854,8408,8979,9529,10667,11945,12479,12753,12961,12961,12961,12961,12961
,Holy See,41.9029,12.4534,0,0,0,2,2,12,12,12,12,15,15,15,15,15,15,15,27,27,27,27,27,27,27
,Honduras,15.2,-86.2419,0,0,0,30,439,1362,4315,8449,23230,37132,46208,54446,60410,64781,69177,77431,83625,91943,97200,97200,97200,97200,97200
,Hungary,47.1625,19.5033,0,0,16,295,1587,2590,3283,3692,4559,15254,42915,108676,237362,308650,373666,469592,665552,735937,744714,744714,744714,744714,744714
,Iceland,64.9631,-19.0208,0,0,36,1462,1791,1797,1822,1936,2130,3098,5046,5500,5868,5995,6035,6223,6476,6476,6652,6652,6652,6652,6652
,India,20.593684,78.96288,0,3,27,4370,51824,248190,782607,2280566,4587613,6948497,8562641,9663382,10300838,10712665,11181253,13648159,23425467,28994855,30468079,30468079,30468079,30468079,30468079
